org_name	org_url
Delaware Society For The Prevention Of Cruelty To Animals	/org/delaware-society-for-the-prevention-of-cruelty-to-animals
Kingswood Community Center Inc	/org/kingswood-community-center-inc
Neighborhood House Inc	/org/neighborhood-house-inc
American Philosophical Association	/org/american-philosophical-association
Actis Inc	/org/actis-inc
International Reading Association Inc	/org/international-reading-association-inc-958
National Association Of Miniature Enthusiasts	/org/national-association-of-miniature-enthusiasts_97712
Pta Welch-Arnold Elementary	/org/pta-welch-arnold-elementary
Walter S Carpenter Jr Trust Fbo Delaware Academy Of Medicine	/org/walter-s-carpenter-jr-trust-fbo-delaware-academy-of-medicine
United Campus Ministry At The University Of Delaware Inc	/org/united-campus-ministry-at-the-university-of-delaware-inc
Milton Historical Society	/org/milton-historical-society-4
Pta Delaware Congress	/org/pta-delaware-congress-14
Pta Delaware Congress	/org/pta-delaware-congress-27
DELAWARE FOUNDATION FOR THE VISUAL ARTS	/org/delaware-foundation-for-the-visual-arts
Faith Lutheran Church	/org/faith-lutheran-church_102713
Kent County Theatre Guild Foundation Inc	/org/kent-county-theatre-guild-foundation-inc
Delaware Innovation Fund	/org/delaware-innovation-fund
University Of Delaware Bartol Research Institute	/org/university-of-delaware-bartol-research-institute
Pta Delaware Congress	/org/pta-delaware-congress-13
Amateur Riders Club Of America Inc	/org/amateur-riders-club-of-america-inc
American Council On Alcoholism And Drug Addiction, Inc.	/org/american-council-on-alcoholism-and-drug-addiction-inc
Kiwanis Foundation Of Rehoboth Beach Inc	/org/kiwanis-foundation-of-rehoboth-beach-inc
Police Athletic League Of Delaware Inc	/org/police-athletic-league-of-delaware-inc
Service Corps Of Retired Executives Association	/org/service-corps-of-retired-executives-association_106446
Parents Without Partners, Inc.	/org/parents-without-partners-inc_118944
Lillie B Gould Perpetual Charitable Tr	/org/lillie-b-gould-perpetual-charitable-tr
National Society Of The Daughters Of The American Revolution	/org/national-society-of-the-daughters-of-the-american-revolution-2999
Thresholds Of The State Of Delaware Incorporated	/org/thresholds-of-the-state-of-delaware-incorporated
Southern Delaware Therapeutic And Recreational Horseback Riding Inc	/org/southern-delaware-therapeutic-and-recreational-horseback-riding-inc
Peninsula Community Church	/org/peninsula-community-church
John J Murray Foundation Inc	/org/john-j-murray-foundation-inc
Little Italy Merchant Association	/org/little-italy-merchant-association
Christiana Care Health System Inc	/org/christiana-care-health-system-inc
Vine-Branch Ministries Inc	/org/vine-branch-ministries-inc
Millsboro Art League Inc	/org/millsboro-art-league-inc
Charter School Inc	/org/charter-school-inc
First Baptist Church Of New Castle Delaware	/org/first-baptist-church-of-new-castle-delaware
Youth For Christ Usa, Inc.	/org/youth-for-christ-usa-inc_140012
Trust Uw Of Bayard Murray For Medical Scholarships	/org/trust-uw-of-bayard-murray-for-medical-scholarships
Unidel Foundation Inc	/org/unidel-foundation-inc
Studio Group Incorporated	/org/studio-group-incorporated
Coordinating Council For Children With Disabilities Inc	/org/coordinating-council-for-children-with-disabilities-inc
Elizabeth Virginia White Trust U/W For University Of Delaware	/org/elizabeth-virginia-white-trust-u-w-for-university-of-delaware
Toastmasters International	/org/toastmasters-international-5408
Downtown Milford Inc	/org/downtown-milford-inc
Crozier Foundation	/org/crozier-foundation
Cornerstone Child Care And Youth Center Inc	/org/cornerstone-child-care-and-youth-center-inc
Coasters Inc	/org/coasters-inc
Adults And Families Learning Together, Inc.	/org/adults-and-families-learning-together-inc
Delaware Progressive Committee Of Women Inc	/org/delaware-progressive-committee-of-women-inc
Institute For Applied Composites Technology	/org/institute-for-applied-composites-technology
West Side New Beginnings Inc	/org/west-side-new-beginnings-inc
Lewes Public Library Inc	/org/lewes-public-library-inc
Canaan Full Gospel Christian Church Inc	/org/canaan-full-gospel-christian-church-inc
Delta Outreach And Education Center Incorporated	/org/delta-outreach-and-education-center-incorporated
Ejb Inc	/org/ejb-inc
Little League Baseball Inc	/org/little-league-baseball-inc-1056
Dima V Inc	/org/dima-v-inc
Delaware Greenways Inc	/org/delaware-greenways-inc
American Volkssport Association	/org/american-volkssport-association_140057
Mountain Brook Academy Inc	/org/mountain-brook-academy-inc
1992 Delaware Columbus Commission	/org/1992-delaware-columbus-commission
Association Of Friends Of Aurora Center	/org/association-of-friends-of-aurora-center
The Renewal Center	/org/the-renewal-center
Nanticoke Alternative Care Inc	/org/nanticoke-alternative-care-inc
Delaware Senior Olympics Inc	/org/delaware-senior-olympics-inc
Pta Delaware Congress	/org/pta-delaware-congress_140066
Pyle Child Development Center Inc	/org/pyle-child-development-center-inc
Crossroads Presbyterian Church	/org/crossroads-presbyterian-church
Delaware Council On The Teaching Of Foreign Languages	/org/delaware-council-on-the-teaching-of-foreign-languages
Human Services Council Inc	/org/human-services-council-inc
Christiana Care Health Initiatives Inc	/org/christiana-care-health-initiatives-inc
Vsa Delaware Inc	/org/vsa-delaware-inc
Delaware Chamber Music Festival Incorporated	/org/delaware-chamber-music-festival-incorporated
Serenity Place Inc	/org/serenity-place-inc
Delaware Genealogical Society	/org/delaware-genealogical-society
Wilmington Housing Partnership Corp	/org/wilmington-housing-partnership-corp
Pop Warner Little Scholars, Inc.	/org/pop-warner-little-scholars-inc-169
Mohawk Corp.	/org/mohawk-corp
Presbyterian Church In America	/org/presbyterian-church-in-america-8
Ella M Brown Uaw Memorial Fund	/org/ella-m-brown-uaw-memorial-fund
Church Of God	/org/church-of-god-43
Pta Delaware Congress West Seaford Elementary	/org/pta-delaware-congress-west-seaford-elementary
Society Of Pi Kappa Lambda	/org/society-of-pi-kappa-lambda-16
Delaware Dance Cmpany	/org/delaware-dance-cmpany
Wilmington Head Start Inc	/org/wilmington-head-start-inc
Alpha Worship Center Inc	/org/alpha-worship-center-inc
Sussex Community Crisis Housing Services Inc	/org/sussex-community-crisis-housing-services-inc
St Anthonys Housing Management Corp	/org/st-anthonys-housing-management-corp
Laurel District Library Comm. Trust	/org/laurel-district-library-comm-trust
Delaware Technical & Community College Educational Foundation 866	/org/delaware-technical-community-college-educational-foundation-866
Lebanon Wesleyan Church	/org/lebanon-wesleyan-church
Centreville Layton School Inc	/org/centreville-layton-school-inc
Fox Point Babe Ruth League Inc	/org/fox-point-babe-ruth-league-inc
Delaware Theatre Company	/org/delaware-theatre-company
Mid Sussex Medical Center Inc	/org/mid-sussex-medical-center-inc
Irish Culture Club Of Delaware	/org/irish-culture-club-of-delaware
Smyrna Church Of Christ Inc	/org/smyrna-church-of-christ-inc
Georgetown Aid Inc	/org/georgetown-aid-inc
Milton And Hattie Kutz Home Inc	/org/milton-and-hattie-kutz-home-inc
American Lung Association Of Delaware	/org/american-lung-association-of-delaware
Home For Aged Women Inc	/org/home-for-aged-women-inc
Junior Board Of The Kent General Hospital	/org/junior-board-of-the-kent-general-hospital
Newark Day Nursery Assoc Inc	/org/newark-day-nursery-assoc-inc
Leon Williams Revivals Inc	/org/leon-williams-revivals-inc
Prison Outreach Of Delaware Inc	/org/prison-outreach-of-delaware-inc
Peoples Place II Inc	/org/peoples-place-ii-inc
Meadwood Church Of Christ	/org/meadwood-church-of-christ
Bayhealth Medical Center	/org/bayhealth-medical-center
Delaware Safety Council Inc	/org/delaware-safety-council-inc
Bayhealth Medical Center Inc	/org/bayhealth-medical-center-inc
Diocesan Council Inc	/org/diocesan-council-inc
THE MUSIC SCHOOL OF DELAWARE INC	/org/the-music-school-of-delaware-inc
Catholic Youth Organization Inc	/org/catholic-youth-organization-inc
First Baptist Church Holloway Terrace	/org/first-baptist-church-holloway-terrace
Friends Of The University Of Sussex	/org/friends-of-the-university-of-sussex
Laurel District Library Commission	/org/laurel-district-library-commission
Critters Inc	/org/critters-inc
Pta Delaware Congress	/org/pta-delaware-congress-17
Pta Delaware Congress	/org/pta-delaware-congress-19
Pta Delaware Congress	/org/pta-delaware-congress-23
Pta Delaware Congress	/org/pta-delaware-congress_157930
Pta Delaware Congress	/org/pta-delaware-congress-30
Society For Preservation & Encrgmnt Of Barbershop Quartet Singing Amer	/org/society-for-preservation-encrgmnt-of-barbershop-quartet-singing-amer-39
Local Union 313 Ibew Electrical Joint Apprenticeship	/org/local-union-313-ibew-electrical-joint-apprenticeship
Society Of Our Lady Of Mt Carmel Inc	/org/society-of-our-lady-of-mt-carmel-inc
Water Resources Association Of The Delaware River Basin	/org/water-resources-association-of-the-delaware-river-basin
Padamsambhava Buddhist Center Of Delaware	/org/padamsambhava-buddhist-center-of-delaware
Mcc Foundation Inc	/org/mcc-foundation-inc
Spirit Life Ministries International	/org/spirit-life-ministries-international
VALS	/org/vals
New Castle County Head Start Inc	/org/new-castle-county-head-start-inc
East Side Charter School Of Wilmington Inc	/org/east-side-charter-school-of-wilmington-inc
Caesar Rodney High School Cheerleader Booster Club	/org/caesar-rodney-high-school-cheerleader-booster-club
Delaware Technology Park Inc	/org/delaware-technology-park-inc
Christian And Missionary Alliance	/org/christian-and-missionary-alliance_195984
Toastmasters International	/org/toastmasters-international_195986
City Theater Company	/org/city-theater-company
Urban Environmental Center Inc	/org/urban-environmental-center-inc
Delaware Theatre Association For The Performing Arts	/org/delaware-theatre-association-for-the-performing-arts
Thomas And Rachel Garrett Station, Inc.	/org/thomas-and-rachel-garrett-station-inc
Blue White Inc	/org/blue-white-inc
Friends Of Bombay Hook Inc	/org/friends-of-bombay-hook-inc
